episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration
1.3199999704957,0.199999995529652,0.211533550944433,58.5019015856299,17091,5,1000000,0,1000000,False,17091,1
1.55999996513128,0.03999999910593,0.252666468840789,72.0688959354281,13876,5,2000000,0,2000000,False,30967,2
1.03999997675419,0.03999999910593,0.203788252957614,55.5461312003555,18003,5,3000000,0,3000000,False,48970,3
1.59999996423721,0.03999999910593,0.28465804272344,56.9428278571835,17561,5,4000000,0,4000000,False,66531,4
2.75999993830919,0.03999999910593,0.929770019493452,129.827335325451,7697,5,5000000,0,5000000,False,74228,5
2.67999994009733,0.03999999910593,1.12460353625022,187.439175257732,5335,5,6000000,0,6000000,False,79563,6
2.35999994724989,0.119999997317791,1.41516214771994,212.060207759169,4717,5,7000000,0,7000000,False,84280,7
2.11999995261431,0.079999998211861,1.38329154575489,215.913822894168,4630,5,8000000,0,8000000,False,88910,8
1.99999995529652,0.079999998211861,1.33223145170379,231.490740740741,4320,5,9000000,0,9000000,False,93230,9
1.91999995708466,0.119999997317791,1.4075910112884,226.165799592852,4421,5,10000000,0,10000000,False,97651,10
1.91999995708466,0.03999999910593,1.37161000709474,222.223850766156,4503,5,11000000,0,11000000,False,102154,11
1.75999996066093,0.119999997317791,1.38894660468548,231.910672853828,4310,5,12000000,0,12000000,False,106464,12
1.87999995797873,0.03999999910593,1.1921404132859,211.595389170897,4728,5,13000000,0,13000000,False,111192,13
1.8399999588728,0.119999997317791,1.47342207092797,221.876608965823,4506,5,14000000,0,14000000,False,115698,14
1.87999995797873,0.119999997317791,1.50660261835956,228.606995884774,4374,5,15000000,0,15000000,False,120072,15
1.95999995619059,0.159999996423721,1.52161443444979,220.605205116895,4534,5,16000000,0,16000000,False,124606,16
1.95999995619059,0.119999997317791,1.26053269947305,206.486888292381,4843,5,17000000,0,17000000,False,129449,17
1.99999995529652,0.159999996423721,1.55257819359158,220.296826795945,4538,5,18000000,0,18000000,False,133987,18
1.91999995708466,0.119999997317791,1.52414518652093,229.8125,4352,5,19000000,0,19000000,False,138339,19
1.8399999588728,0.03999999910593,1.15782197280861,218.654275092937,4573,5,20000000,0,20000000,False,142912,20
1.8399999588728,0.119999997317791,1.34189377531607,221.255752212389,4520,5,21000000,0,21000000,False,147432,21
1.95999995619059,0.03999999910593,1.30153263422506,209.392378559464,4776,5,22000000,0,22000000,False,152208,22
1.95999995619059,0.279999993741512,1.54491860796024,232.483960948396,4302,5,23000000,0,23000000,False,156510,23
1.95999995619059,0.119999997317791,1.56344430377932,237.90271170314,4204,5,24000000,0,24000000,False,160714,24
1.95999995619059,0.119999997317791,1.56387348283126,246.947875494071,4048,5,25000000,0,25000000,False,164762,25
1.87999995797873,0.119999997317791,1.49247107775178,222.218,4500,5,26000000,0,26000000,False,169262,26
1.91999995708466,0.119999997317791,1.59954330068731,232.996505125815,4292,5,27000000,0,27000000,False,173554,27
1.87999995797873,0.159999996423721,1.54272160619255,213.560563982055,4681,5,28000000,0,28000000,False,178235,28
1.87999995797873,0.119999997317791,1.49357406923659,220.262497247302,4541,5,29000000,0,29000000,False,182776,29
1.91999995708466,0.119999997317791,1.52674378252994,226.928295892898,4407,5,30000000,0,30000000,False,187183,30
1.91999995708466,0.159999996423721,1.47307174594187,222.954302273741,4486,5,31000000,0,31000000,False,191669,31
1.95999995619059,0.119999997317791,1.57235451030968,227.181136363636,4400,5,32000000,0,32000000,False,196069,32
1.91999995708466,0.03999999910593,1.52852455599875,230.933733548834,4331,5,33000000,0,33000000,False,200400,33
